topology,seed,scenario,mode,steps,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
chain,3,partial,standard,2100,0.06048054034803931,0.0007506739339190275,1.2462025792875115,4.517775094334807,0.1314507018101775,1.9642243912969661,0.35132952487002084,4.544090670790645,1.9360459277505477,0.3515599182892119,495.77428551792525,1.0,0.12
chain,3,partial,gated,2100,0.06048054034803931,0.0007506739339190275,0.7114872081720414,3.781222372158853,0.05332896589313991,1.6842035426580702,0.3536418603819325,3.7766240987085213,1.6807836624085546,0.35370599008163406,8.350259550763582,1.0,0.12
chain,4,zero,standard,2100,0.06968907841562652,0.0005930257406951897,1.1537598993982685,1.5380952230689195,0.14093784481922791,0.24304465290506175,0.0,1.4691928367216682,0.2481783780441842,0.0,797.2644092396386,0.24995908931106864,0.12
chain,4,zero,gated,2100,0.06968907841562652,0.0005930257406951897,0.048365876478995554,4.097841272140884e-297,0.0002859830567138252,0.0,0.0,7.534132811838485e-05,2.6332677871014165e-07,0.0,0.07011290071884325,0.011325549513902342,0.0045202228372189
chain,4,partial,standard,2100,0.06968907841562652,0.0005930257406951897,1.1562009003399247,4.317391394268176,0.10716529343834266,1.4727781558850437,0.3543348117224843,4.2730671603758505,1.4562165532228197,0.35451098665482034,530.745794118118,1.0,0.12
chain,4,partial,gated,2100,0.06968907841562652,0.0005930257406951897,0.7538018916722696,3.64800214741628,0.0653780169192518,1.4758164713732762,0.35569559955039926,3.6293165217279357,1.4936191515065487,0.3561083872129934,316.94831668698123,1.0,0.12
chain,5,zero,standard,2100,0.07165394160432657,0.0009566742769920872,1.269461744772763,1.5702508885618565,0.1569897289694823,0.26768276297635624,0.0,1.5771459979790727,0.27549734783192026,0.0,634.9276256138334,0.2490923240485624,0.12
chain,5,zero,gated,2100,0.07165394160432657,0.0009566742769920872,0.04980688440576646,2.807105878330547e-297,0.00046818179163955596,0.0,0.0,7.487273436007725e-05,4.20129889715315e-07,0.0,0.07189862553123419,0.017364171786162116,0.006943540083915685
chain,5,partial,standard,2100,0.07165394160432657,0.0009566742769920872,1.2018143296045998,4.126375168841817,0.10336779903677731,1.743740350336497,0.35358969236133514,4.151832344182093,1.8205733381003297,0.35286171087919077,553.4949657506725,1.0,0.12
chain,5,partial,gated,2100,0.07165394160432657,0.0009566742769920872,0.7099951302870995,3.6991285045563025,0.03417909177895698,1.5728782979733926,0.3522270096235934,3.6865137061534847,1.5318226696630328,0.3527368402890113,399.45440083468276,1.0,0.12
chain,6,zero,standard,2100,0.10268073995133002,0.0014834343273754695,1.2846989040203873,1.7383242098130025,0.16053847300977164,0.3059249210928509,0.0,1.6905800862818017,0.297180674614954,0.0,363.841799108161,0.26832363154160244,0.12
chain,6,zero,gated,2100,0.10268073995133002,0.0014834343273754695,0.07114523903112613,1.890290181882696e-297,0.0007159353620720448,0.0,0.0,0.00011061304428491889,6.483970229412044e-07,0.0,0.10281414021330346,0.017496420990528002,0.007371385525750649
chain,6,partial,standard,2100,0.10268073995133002,0.0014834343273754695,1.1763729213353058,4.33266405841837,0.12092351826619446,1.759882731380788,0.35268324271234436,4.281604274215864,1.7195853126565102,0.35319202112514514,416.91269953101164,1.0,0.12
chain,6,partial,gated,2100,0.10268073995133002,0.0014834343273754695,0.7066696590002963,3.6912684532806237,0.034135692265819244,1.5008115986252488,0.3530219911727171,3.6971268386345697,1.5346295370520762,0.3526120576217934,397.7847641025518,1.0,0.12
chain,7,zero,standard,2100,0.06761559336334363,0.0008284959560554987,1.1947192075095192,1.6220603879354765,0.14375200055865725,0.28502236720716906,0.0,1.5715627154504888,0.2743999805304657,0.0,661.4222853043225,0.26823262179725765,0.12
chain,7,zero,gated,2100,0.06761559336334363,0.0008284959560554987,0.04662150271162949,1.0246331417818491e-297,0.0003960160691343254,0.0,0.0,7.093044004971824e-05,3.518072900398715e-07,0.0,0.06879644996647472,0.01225186384355392,0.005295379219900288
chain,7,partial,standard,2100,0.06761559336334363,0.0008284959560554987,1.174342543655289,3.9854318892408283,0.11388299888898655,1.6899421315010184,0.35427147690973776,4.141005555391904,1.8138445678170796,0.35347120839388324,610.9163156719937,1.0,0.12
chain,7,partial,gated,2100,0.06761559336334363,0.0008284959560554987,0.7479878677034768,3.688533745270198,0.0379883728502107,1.5003929169359616,0.35305434502803196,3.6943468502029364,1.5336965809786687,0.3526448269271397,391.1679880572412,1.0,0.12
chain,8,zero,standard,2100,0.14925774357580515,0.002607961830332037,1.2623215069103697,1.8254608117448061,0.16152382731935924,0.3332642808827469,0.0,1.8255819429598277,0.33336056461088176,0.0,43.70360946233574,0.2584747268284654,0.12
chain,8,zero,gated,2100,0.14925774357580515,0.002607961830332037,0.1070490596044783,3.438105534580526e-297,0.0013131858321915376,0.0,0.0,0.00015780691176317944,1.1370196143413575e-06,0.0,0.15133422668397747,0.017244740376480897,0.007140800522469554
chain,8,partial,standard,2100,0.14925774357580515,0.002607961830332037,1.134429078490979,4.12117911828879,0.08904000574759338,1.4809207343819462,0.3562968604267836,4.117102641564507,1.4783524507840986,0.35635290652173196,14.094913466665272,1.0,0.12
chain,8,partial,gated,2100,0.14925774357580515,0.002607961830332037,0.6656324973808412,3.534811163429001,0.031318052679553204,1.2994667890508134,0.35567713903023984,3.5306537572033942,1.2969435136793874,0.3557332053846492,9.133562960572412,1.0,0.12
chain,9,zero,standard,2100,0.05175929709599135,0.0002048537643446379,1.197363472201567,1.7018508829725871,0.13972841280373555,0.3106998650510742,0.0,1.7078487095272261,0.30219966483684013,0.0,315.20233592829675,0.2665285855681746,0.12
chain,9,zero,gated,2100,0.05175929709599135,0.0002048537643446379,0.04167035941842572,5.10861335603369e-297,0.00010025078561234502,0.0,0.0,7.441313850979725e-05,9.256290742349007e-08,0.0,0.05396362954754079,0.011153494084958672,0.004019817702998048
chain,9,partial,standard,2100,0.05175929709599135,0.0002048537643446379,1.2125428885921883,4.12117911828879,0.1230188908075419,1.4809207343819464,0.3562968604267836,4.117553670041271,1.4788918535705808,0.3563457977642049,18.836304041618675,1.0,0.12
chain,9,partial,gated,2100,0.05175929709599135,0.0002048537643446379,0.7159730458750952,3.636936803682776,0.05606460327208437,1.4981795912873792,0.35585201415800954,3.6290121789763363,1.495630525030888,0.35611566184492577,403.6067283552568,1.0,0.12
ring,0,zero,standard,2100,0.0984393958722368,0.000935242200500284,1.26264952198401,1.8381228414805495,0.15775363869616113,0.33786955803725305,0.0,1.8379179049358048,0.33787238464811314,0.0,361.9148900446961,0.2685062157917283,0.12
ring,0,zero,gated,2100,0.0984393958722368,0.000935242200500284,0.07213644872341124,7.803872167619048e-297,0.0004635288770477992,0.0,0.0,0.00012234841551203173,4.158505369757202e-07,0.0,0.10128619721717319,0.016458040751833606,0.005950891240180971
ring,0,partial,standard,2100,0.0984393958722368,0.000935242200500284,1.2436477536334982,4.332128544552343,0.1394557255115367,1.658431643150001,0.3520064808793249,4.267425533466973,1.6263521045475828,0.3529341341232245,587.3086222294233,1.0,0.12
ring,0,partial,gated,2100,0.0984393958722368,0.000935242200500284,0.8849023773493796,3.949233909076613,0.09931956177583409,1.7016700963350595,0.35426317685906256,3.9450457373863164,1.6987573777999976,0.35432109392066163,11.730845224310633,1.0,0.12
ring,1,zero,standard,2100,0.10078616614583996,0.001418239361307898,1.290222731100571,1.83812284148055,0.1670716948254449,0.33786955803725305,0.0,1.8382661604661756,0.33797379630259,0.0,14.938775105489604,0.2574481176421648,0.12
ring,1,zero,gated,2100,0.10078616614583996,0.001418239361307898,0.07117598124587479,1.0143835596014897e-297,0.0007045851526229627,0.0,0.0,0.000107413009807056,6.318816172483187e-07,0.0,0.10100519169903865,0.016377918391833425,0.0066374685769694025
ring,1,partial,standard,2100,0.10078616614583996,0.001418239361307898,1.2489457138950992,4.471468119856889,0.13319265814439316,1.745783498206324,0.3534307087525979,4.4667139126018425,1.7425032892280556,0.3534954099072372,8.792000876456799,1.0,0.12
ring,1,partial,gated,2100,0.10078616614583996,0.001418239361307898,0.886824068677304,3.949233909076613,0.09961977494206753,1.7016700963350595,0.35426317685906256,3.9446103263167527,1.6983201535399286,0.3543277014874234,10.234425647247171,1.0,0.12
