parameter,value,scenario,mode,steps,seed,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
eps_s,0.1,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
eps_s,0.1,full,standard,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
eps_s,0.1,full,gated,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
eps_s,0.1,partial,standard,200,42,0.0,0.0,0.6,4.4892373169743545,0.036,1.9936969200245325,0.351581744260318,4.4299208473234275,1.9036946088489781,0.35279905045601767,52.22468604210211,1.0,0.12
eps_s,0.1,partial,gated,200,42,0.0,0.0,0.6,3.7844135498750675,0.036,1.770436247908911,0.35305259719550036,3.7525394697674512,1.7479642969451876,0.3533817102559763,52.06520421167531,1.0,0.12
eps_s,0.2,zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.0553512351825063,1.747617178152878,0.12567071204557795,0.2800640631703794,0.0,1.7083585429956187,0.28028105826487876,0.0,40.8313316609201,0.24344653840007224,0.12
eps_s,0.2,zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
eps_s,0.2,full,standard,100,42,0.0,0.0,1.2000000000000002,5.795367325353005,7.703719777548943e-33,1.2591384961352556,0.42482651291224827,5.616881828157023,1.2084388176192924,0.4269324722257211,20.751146349182562,1.0,0.12
eps_s,0.2,full,gated,100,42,0.0,0.0,1.2000000000000002,5.795367325353005,7.703719777548943e-33,1.2591384961352556,0.42482651291224827,5.616881828157023,1.2084388176192924,0.4269324722257211,20.751146349182562,1.0,0.12
eps_s,0.2,partial,standard,200,42,0.0,0.0,0.6,4.470181328864343,0.036,1.9719450055133407,0.3516594489859793,4.410269954800498,1.887173820402628,0.35287506937937513,52.13220599813381,1.0,0.12
eps_s,0.2,partial,gated,200,42,0.0,0.0,0.6,3.8388711836619285,0.036,1.7863517628157652,0.35221090267275607,3.7653105840234877,1.731818844744527,0.3532455114482812,49.14918914998651,1.0,0.12
